"","county","total_cases","total_cases_perc","total_deaths","total_deaths_perc","population","lon","lat","group"
"56","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.843284606934,45.023021697998,1
"57","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.849021911621,44.9943771362305,1
"58","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.820358276367,44.9886474609375,1
"59","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.831817626953,44.9485397338867,1
"60","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.85474395752,44.8855133056641,1
"61","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.88338470459,44.8396759033203,1
"62","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.917770385742,44.8167572021484,1
"63","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.94068145752,44.7823829650879,1
"64","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.992248535156,44.770923614502,1
"65","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.038093566895,44.7480049133301,1
"66","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.078201293945,44.6792488098145,1
"67","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.141227722168,44.5531959533691,1
"68","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.204246520996,44.4959030151367,1
"69","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.209983825684,44.438606262207,1
"70","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.232887268066,44.3927688598633,1
"71","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.22144317627,44.3583946228027,1
"72","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.204246520996,44.3354759216309,1
"73","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.204246520996,44.306827545166,1
"74","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.58699798584,44.7136268615723,2
"75","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.157272338867,44.7078971862793,2
"76","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.128623962402,44.6849784851074,2
"77","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.088516235352,44.6677894592285,2
"78","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.077056884766,44.6563301086426,2
"79","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.094253540039,44.6334114074707,2
"80","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.174468994141,44.6104927062988,2
"81","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.19165802002,44.6047668457031,2
"82","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.180191040039,44.5818481445312,2
"83","Benton",16301,0.175179736279325,71,0.000763006028822284,93053,-123.248947143555,44.5646591186523,2
