"","date","county","population","cases","cases_per_pop","deaths","deaths_per_pop"
"165",2020-03-21,"Multnomah",812855,18,2.21441708545805e-05,1,1.23023171414336e-06
"166",2020-03-21,"Polk",86085,1,1.16164256258349e-05,0,0
"167",2020-03-21,"Umatilla",77950,2,2.56574727389352e-05,0,0
"168",2020-03-21,"Union",26835,1,3.72647661635923e-05,0,0
"169",2020-03-21,"Washington",601592,42,6.98147581749757e-05,1,1.66225614702323e-06
"170",2020-03-21,"Yamhill",107100,4,3.73482726423903e-05,0,0
"171",2020-03-22,"Benton",93053,4,4.29862551449174e-05,0,0
"172",2020-03-22,"Clackamas",418187,12,2.86952966017595e-05,0,0
"173",2020-03-22,"Deschutes",197692,10,5.05837363170993e-05,0,0
"174",2020-03-22,"Douglas",110980,1,9.01063254640476e-06,0,0
"175",2020-03-22,"Grant",7199,1,0.000138908181691902,0,0
"176",2020-03-22,"Jackson",220944,2,9.05206749221522e-06,0,0
"177",2020-03-22,"Josephine",87487,1,1.14302696400608e-05,0,0
"178",2020-03-22,"Klamath",68238,1,1.46545912834491e-05,0,0
"179",2020-03-22,"Lane",382067,4,1.04693679380842e-05,1,2.61734198452104e-06
"180",2020-03-22,"Linn",129749,19,0.000146436581399471,1,7.70718849470902e-06
"181",2020-03-22,"Marion",347818,22,6.32514705966914e-05,1,2.87506684530415e-06
"182",2020-03-22,"Multnomah",812855,19,2.33744025687238e-05,1,1.23023171414336e-06
"183",2020-03-22,"Polk",86085,1,1.16164256258349e-05,0,0
"184",2020-03-22,"Umatilla",77950,2,2.56574727389352e-05,0,0
"185",2020-03-22,"Union",26835,1,3.72647661635923e-05,0,0
"186",2020-03-22,"Washington",601592,55,9.14240880862777e-05,1,1.66225614702323e-06
"187",2020-03-22,"Yamhill",107100,6,5.60224089635854e-05,0,0
"188",2020-03-23,"Benton",93053,4,4.29862551449174e-05,0,0
"189",2020-03-23,"Clackamas",418187,14,3.34778460353861e-05,0,0
"190",2020-03-23,"Deschutes",197692,10,5.05837363170993e-05,0,0
"191",2020-03-23,"Douglas",110980,1,9.01063254640476e-06,0,0
"192",2020-03-23,"Grant",7199,1,0.000138908181691902,0,0
"193",2020-03-23,"Hood River",23382,1,4.2767941151313e-05,0,0
"194",2020-03-23,"Jackson",220944,2,9.05206749221522e-06,0,0
"195",2020-03-23,"Josephine",87487,1,1.14302696400608e-05,0,0
"196",2020-03-23,"Klamath",68238,1,1.46545912834491e-05,0,0
"197",2020-03-23,"Lane",382067,4,1.04693679380842e-05,1,2.61734198452104e-06
"198",2020-03-23,"Linn",129749,20,0.00015414376989418,1,7.70718849470902e-06
"199",2020-03-23,"Marion",347818,30,8.62520053591246e-05,1,2.87506684530415e-06
"200",2020-03-23,"Multnomah",812855,21,2.58348659970105e-05,1,1.23023171414336e-06
"201",2020-03-23,"Polk",86085,3,3.48492768775048e-05,0,0
"202",2020-03-23,"Umatilla",77950,2,2.56574727389352e-05,0,0
"203",2020-03-23,"Union",26835,1,3.72647661635923e-05,0,0
"204",2020-03-23,"Washington",601592,69,0.000114695674144603,1,1.66225614702323e-06
"205",2020-03-23,"Yamhill",107100,6,5.60224089635854e-05,0,0
