"","lon","lat","group","county"
"170",-123.92504119873,45.7621383666992,4,"clatsop"
"171",-123.936500549316,45.8137054443359,4,"clatsop"
"172",-123.919319152832,45.8824615478516,4,"clatsop"
"173",-123.936500549316,45.9225692749023,4,"clatsop"
"174",-123.953681945801,45.9626770019531,4,"clatsop"
"175",-123.907852172852,45.9970512390137,4,"clatsop"
"176",-123.88493347168,46.0371589660645,4,"clatsop"
"177",-123.88493347168,46.0887260437012,4,"clatsop"
"178",-123.907852172852,46.1345596313477,4,"clatsop"
"179",-123.92504119873,46.1803970336914,4,"clatsop"
"180",-123.970886230469,46.2147750854492,4,"clatsop"
"181",-123.947959899902,46.2262344360352,4,"clatsop"
"182",-123.902114868164,46.2205047607422,4,"clatsop"
"183",-123.833366394043,46.1689414978027,4,"clatsop"
"184",-123.770347595215,46.1460227966309,4,"clatsop"
"185",-123.747428894043,46.1517486572266,4,"clatsop"
"186",-123.758888244629,46.1689414978027,4,"clatsop"
"187",-123.79899597168,46.1975860595703,4,"clatsop"
"188",-123.758888244629,46.2033157348633,4,"clatsop"
"189",-123.707321166992,46.2090454101562,4,"clatsop"
"190",-123.67293548584,46.1689414978027,4,"clatsop"
"191",-123.615646362305,46.1689414978027,4,"clatsop"
"192",-123.546890258789,46.1975860595703,4,"clatsop"
"193",-123.512512207031,46.2262344360352,4,"clatsop"
"194",-123.466682434082,46.2262344360352,4,"clatsop"
"195",-123.43229675293,46.2262344360352,4,"clatsop"
"196",-123.426574707031,46.1861267089844,4,"clatsop"
"197",-123.397926330566,46.1689414978027,4,"clatsop"
"198",-123.369270324707,46.1402893066406,4,"clatsop"
"200",-122.77912902832,45.7048416137695,5,"columbia"
"201",-122.910903930664,45.7048416137695,5,"columbia"
"202",-122.910903930664,45.7277603149414,5,"columbia"
"203",-122.968200683594,45.7277603149414,5,"columbia"
"204",-122.973937988281,45.7334899902344,5,"columbia"
"205",-123.01976776123,45.7392234802246,5,"columbia"
"206",-123.025505065918,45.7678680419922,5,"columbia"
"207",-123.34635925293,45.7678680419922,5,"columbia"
"208",-123.357818603516,45.8480834960938,5,"columbia"
"209",-123.357818603516,46.0371589660645,5,"columbia"
"210",-123.369270324707,46.0428886413574,5,"columbia"
"211",-123.369270324707,46.0944519042969,5,"columbia"
"212",-123.369270324707,46.1402893066406,5,"columbia"
"213",-123.329162597656,46.1345596313477,5,"columbia"
"214",-123.27759552002,46.1402893066406,5,"columbia"
"215",-123.237487792969,46.1517486572266,5,"columbia"
"216",-123.22029876709,46.1574783325195,5,"columbia"
